slope_angle,wolf_prob,rain_mm,cold_resistance,is_safe
31.82,0.295,69.44,Medium,0
38.55,0.17,5.29,Low,1
7.46,0.397,50.34,High,1
50.96,0.536,60.98,Low,0
39.38,0.217,28.89,High,1
1.0,0.201,7.45,Medium,1
38.07,0.289,0.0,High,1
18.09,0.748,11.35,Low,1
47.07,0.014,5.81,Medium,1
41.6,0.185,21.23,Low,1
38.34,0.613,30.65,Medium,0
19.59,0.156,34.18,High,1
47.28,0.713,32.18,Medium,0
36.3,0.62,46.04,High,0
29.43,0.194,29.14,Medium,1
38.99,0.228,64.85,Medium,0
37.24,0.417,21.54,High,1
38.29,0.414,24.38,Medium,1
42.47,0.15,0.0,Medium,1
5.37,0.007,15.14,Medium,1
38.16,0.028,11.82,High,1
45.97,0.543,32.94,High,1
33.12,0.19,13.73,Medium,1
30.64,0.042,5.15,Medium,0
15.93,0.361,48.18,Medium,1
51.14,0.427,24.27,Medium,0
10.2,0.035,0.0,High,0
10.49,0.162,20.56,Medium,1
37.52,0.092,0.0,High,1
44.17,0.174,17.49,Medium,1
43.32,0.478,94.11,Medium,0
43.92,0.365,2.61,Medium,1
18.15,0.0,35.79,Medium,1
39.21,0.75,30.98,Medium,0
2.82,0.146,46.48,Medium,1
39.15,0.012,7.63,High,1
37.09,0.089,0.0,Medium,1
21.38,0.006,4.91,High,1
18.38,0.075,34.09,High,1
10.7,0.176,80.92,Medium,0
24.58,0.184,23.82,Medium,1
36.5,0.714,21.79,Medium,0
35.99,1.0,57.31,High,0
20.99,0.795,16.56,High,1
46.37,0.126,2.53,Medium,1
18.67,0.568,17.79,Medium,1
37.72,0.59,60.65,Low,0
12.83,0.359,42.56,Medium,1
33.92,0.19,0.0,Medium,1
6.53,0.104,47.03,High,1
38.92,0.068,23.82,Medium,0
31.65,0.197,11.71,Medium,1
11.78,0.009,4.87,Medium,1
40.87,0.616,65.81,Low,0
1.0,0.076,19.06,High,1
25.97,0.139,25.46,Medium,1
22.79,0.072,41.81,Medium,1
37.75,0.465,12.83,High,1
44.1,0.622,47.24,Low,0
42.94,0.555,41.69,Medium,0
34.12,0.264,12.24,Medium,1
40.77,0.219,9.62,Medium,1
25.96,0.085,9.4,High,1
26.63,0.128,16.24,Medium,1
16.14,0.211,68.99,Medium,1
19.3,0.086,71.79,Medium,1
26.0,0.214,1.34,High,1
52.05,0.0,11.34,Low,0
24.43,0.443,76.37,Medium,1
12.91,0.141,1.98,High,1
11.67,0.156,29.14,High,1
53.7,0.08,32.74,Medium,1
35.12,0.255,18.05,High,1
15.4,0.219,28.89,Medium,1
47.54,0.071,7.85,High,1
12.48,0.185,23.29,Medium,1
14.52,0.04,30.63,High,1
33.17,0.231,50.97,High,0
4.07,0.032,34.5,Medium,1
47.14,0.875,53.39,Low,0
29.45,0.738,68.93,High,0
54.07,0.217,19.8,Low,0
50.69,0.096,0.0,Medium,1
24.46,0.147,45.33,Medium,1
12.84,0.202,63.24,Medium,1
17.93,0.025,70.83,Low,1
30.65,0.262,52.34,High,0
8.87,0.449,67.49,Medium,1
6.29,0.189,8.9,Medium,1
62.0,0.429,62.91,Low,1
28.84,0.228,13.78,Low,1
48.51,0.656,21.33,Medium,0
47.85,0.27,36.06,Medium,0
21.39,0.646,0.03,Medium,1
45.47,0.504,42.01,Medium,0
24.24,0.238,3.14,High,1
26.25,0.186,16.16,High,1
1.0,0.125,41.11,High,0
41.61,0.176,8.49,Medium,1
33.12,0.085,8.42,Low,1
41.58,0.906,0.0,Medium,1
30.34,0.739,11.78,Low,1
53.75,0.671,30.5,Low,0
19.31,0.089,28.89,Medium,1
16.05,0.302,85.29,Low,0
19.64,0.209,3.14,Medium,1
22.28,0.038,8.7,Medium,1
24.83,0.135,24.23,High,1
20.55,0.0,8.6,Medium,1
13.96,0.044,41.8,Medium,0
32.77,0.278,9.07,Medium,1
16.97,0.022,32.23,Medium,1
22.02,0.132,27.64,Medium,1
12.96,0.165,67.0,Medium,0
12.16,0.029,51.75,High,1
22.15,0.006,58.76,High,1
44.37,0.339,60.71,Medium,0
36.85,0.061,54.68,Medium,0
11.18,0.129,46.28,High,1
44.92,0.41,14.44,High,0
1.24,0.349,79.93,Medium,1
16.72,0.04,91.61,High,1
15.6,0.04,36.09,Medium,0
35.39,0.145,39.31,High,0
22.42,0.321,10.89,Medium,1
8.82,0.233,92.68,Medium,1
36.45,0.289,14.28,Medium,1
18.79,0.204,6.5,Medium,1
63.43,0.455,75.12,High,0
46.54,0.579,84.16,Low,0
28.54,0.66,80.7,Medium,0
11.09,0.251,38.29,Low,1
25.69,0.405,63.26,Low,0
38.53,0.607,53.42,Low,0
1.0,0.637,13.76,Low,1
5.6,0.119,11.9,Medium,1
7.56,0.094,29.32,High,1
57.01,0.501,70.05,Low,0
16.08,0.064,31.7,Medium,1
23.42,0.364,33.89,High,1
44.53,0.134,0.18,Low,1
22.0,0.262,4.89,Medium,1
19.57,0.311,77.09,Low,0
11.72,0.152,27.08,Medium,1
35.01,0.769,24.85,Low,1
25.17,0.207,37.94,Medium,0
41.53,0.722,71.64,High,0
19.73,0.103,10.69,High,0
19.35,0.168,46.28,Low,1
10.86,0.0,32.4,High,1
41.2,0.07,69.84,High,0
17.03,0.649,63.67,Medium,0
17.59,0.104,11.92,High,1
40.57,0.576,20.82,Medium,1
49.71,0.412,3.84,High,1
34.4,0.071,17.11,Low,1
14.82,0.26,37.25,Medium,1
37.88,0.757,20.32,Medium,0
40.5,0.327,31.32,Medium,0
20.37,0.257,67.0,Low,0
12.46,0.0,26.83,Medium,1
13.02,0.156,144.17,Low,0
46.0,0.057,23.37,Low,0
15.03,0.18,45.21,Medium,0
27.27,0.089,102.61,Medium,0
58.12,0.183,10.87,Medium,1
4.91,0.107,12.25,High,1
30.21,0.698,40.11,High,0
27.5,0.118,7.76,High,1
52.7,0.287,10.38,Low,1
